biome_num,biome_name
1,Tropical & Subtropical Moist Broadleaf Forests
2,Tropical & Subtropical Dry Broadleaf Forests
3,Tropical & Subtropical Coniferous Forests
4,Temperate Broadleaf & Mixed Forests
5,Temperate Conifer Forests
6,Boreal Forests/Taiga
7,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
8,"Temperate Grasslands, Savannas & Shrublands"
9,Flooded Grasslands & Savannas
10,Montane Grasslands & Shrublands
11,Tundra
12,"Mediterranean Forests, Woodlands & Scrub"
13,Deserts & Xeric Shrublands
14,Mangroves