"eco_id","eco_name"
117,"Adelie Land tundra"
135,"Admiralty Islands lowland rain forests"
785,"Aegean and Western Turkey sclerophyllous and mixed forests"
807,"Afghan Mountains semi-desert"
404,"Ahklun and Kilbuck Upland Tundra"
722,"Al-Hajar foothill xeric woodlands and shrublands"
723,"Al-Hajar montane woodlands and shrublands"
721,"Alai-Western Tian Shan steppe"
808,"Alashan Plateau semi-desert"
405,"Alaska-St. Elias Range tundra"
369,"Alaska Peninsula montane taiga"
88,"Albany thickets"
345,"Alberta-British Columbia foothills forests"
1,"Albertine Rift montane forests"
91,"Aldabra Island xeric scrub"
406,"Aleutian Islands tundra"
328,"Allegheny Highlands forests"
689,"Alps conifer and mixed forests"
749,"Altai alpine meadow and tundra"
690,"Altai montane forest and forest steppe"
724,"Altai steppe and semi-desert"
439,"Alto Paraná Atlantic forests"
611,"Amazon-Orinoco-Southern Caribbean mangroves"
67,"Amsterdam-Saint Paul Islands temperate grasslands"
741,"Amur meadow steppe"
786,"Anatolian conifer and deciduous mixed forests"
218,"Andaman Islands rain forests"
77,"Angolan montane forest-grassland"
34,"Angolan mopane woodlands"
35,"Angolan scarp savanna and woodlands"
36,"Angolan wet miombo woodlands"
196,"Antipodes Subantarctic Islands tundra"
331,"Appalachian-Blue Ridge forests"
329,"Appalachian mixed mesophytic forests"
330,"Appalachian Piedmont forests"
644,"Appenine deciduous montane forests"
520,"Apure-Villavicencio dry forests"
810,"Arabian sand desert"
440,"Araucaria moist forests"
597,"Araya and Paria xeric scrub"
407,"Arctic coastal tundra"
778,"Russian Arctic desert"
408,"Arctic foothills tundra"
346,"Arizona Mountains forests"
181,"Arnhem Land tropical savanna"
37,"Ascension scrub and grasslands"
598,"Atacama desert"
441,"Atlantic Coast restingas"
839,"Saharan Atlantic coastal desert"
347,"Atlantic coastal pine barrens"
5,"Congolian coastal forests"
664,"European Atlantic mixed forests"
193,"Australian Alps montane grasslands"
812,"Azerbaijan shrub desert and steppe"
645,"Azores temperate mixed forests"
813,"Badghyz and Karabil semi-desert"
612,"Bahamian-Antillean mangroves"
442,"Bahia coastal forests"
443,"Bahia interior forests"
426,"Baja California desert"
521,"Bajío dry forests"
646,"Balkan mixed forests"
522,"Balsas dry forests"
647,"Baltic mixed forests"
814,"Baluchistan xeric woodlands"
136,"Banda Sea Islands moist deciduous forests"
564,"Belizian pine savannas"
565,"Beni savanna"
779,"Russian Bering tundra"
409,"Beringia lowland tundra"
410,"Beringia upland tundra"
325,"Bermuda subtropical conifer forests"
137,"Biak-Numfoor rain forests"
348,"Blue Mountains forests"
742,"Bohai Sea saline meadow"
523,"Bolivian montane dry forests"
444,"Bolivian Yungas"
219,"Borneo lowland rain forests"
221,"Borneo peat swamp forests"
222,"Brahmaputra Valley semi-evergreen forests"
182,"Brigalow tropical savanna"
349,"British Columbia coastal conifer forests"
411,"Brooks-British Range tundra"
138,"Buru rain forests"
525,"Caatinga"
445,"Caatinga Enclaves moist forests"
691,"Caledon conifer forests"
385,"California Central Valley grasslands"
422,"California coastal sage and chaparral"
423,"California interior chaparral and woodlands"
424,"California montane chaparral and woodlands"
2,"Cameroon Highlands forests"
566,"Campos Rupestres montane savanna"
386,"Canadian Aspen forests and parklands"
413,"Canadian Low Arctic tundra"
787,"Canary Islands dry woodlands and forests"
648,"Cantabrian mixed forests"
190,"Canterbury-Otago tussock grasslands"
31,"Cape Verde Islands dry forests"
183,"Cape York Peninsula tropical savanna"
446,"Caqueta moist forests"
223,"Cardamom Mountains rain forests"
599,"Caribbean shrublands"
207,"Carnarvon xeric shrublands"
618,"Carolines tropical moist forests"
692,"Carpathian montane forests"
184,"Carpentaria tropical savanna"
649,"Caspian Hyrcanian mixed forests"
815,"Caspian lowland desert"
447,"Catatumbo moist forests"
526,"Cauca Valley dry forests"
448,"Cauca Valley montane forests"
650,"Caucasus mixed forests"
449,"Cayos Miskitos-San Andrés and Providencia moist forests"
651,"Celtic broadleaf forests"
816,"Central Afghan Mountains xeric woodlands"
111,"Central African mangroves"
450,"Central American Atlantic moist forests"
527,"Central American dry forests"
451,"Central American montane forests"
553,"Central American pine-oak forests"
725,"Central Anatolian steppe"
652,"Central Anatolian steppe and woodlands"
352,"Central-Southern Cascades Forests"
389,"Central-Southern US mixed grasslands"
587,"Central Andean dry puna"
588,"Central Andean puna"
589,"Central Andean wet puna"
817,"Central Asian northern desert"
818,"Central Asian riparian woodlands"
819,"Central Asian southern desert"
350,"Central British Columbia Mountain forests"
38,"Central bushveld"
370,"Central Canadian Shield forests"
653,"Central China Loess Plateau mixed forests"
3,"Central Congolian lowland forests"
290,"Central Deccan Plateau dry deciduous forests"
654,"Central European mixed forests"
387,"Central US forest-grasslands transition"
291,"Central Indochina dry forests"
655,"Central Korean deciduous forests"
427,"Central Mexican matorral"
351,"Central Pacific Northwest coastal forests"
820,"Central Persian desert basins"
619,"Central Polynesian tropical moist forests"
139,"Central Range Papuan montane rain forests"
195,"Papuan Central Range sub-alpine grasslands"
208,"Central Ranges xeric scrub"
118,"Central South Antarctic Peninsula tundra"
388,"Central Tallgrass prairie"
750,"Central Tibetan Plateau alpine steppe"
39,"Central Zambezian wet miombo woodlands"
567,"Cerrado"
656,"Changbai Mountains mixed forests"
657,"Changjiang Plain evergreen forests"
224,"Chao Phraya freshwater swamp forests"
225,"Chao Phraya lowland moist deciduous forests"
167,"Chatham Island temperate forests"
771,"Cherskii-Kolyma mountain tundra"
292,"Chhota-Nagpur dry deciduous forests"
528,"Chiapas Depression dry forests"
452,"Chiapas montane forests"
428,"Chihuahuan desert"
596,"Chilean Matorral"
453,"Chimalapas montane forests"
226,"Chin Hills-Arakan Yoma montane forests"
529,"Chiquitano dry forests"
454,"Chocó-Darién moist forests"
227,"Christmas and Cocos Islands tropical forests"
772,"Chukchi Peninsula tundra"
568,"Clipperton Island shrub and grasslands"
455,"Cocos Island moist forests"
429,"Colorado Plateau shrublands"
353,"Colorado Rockies forests"
4,"Comoros forests"
371,"Cook Inlet taiga"
620,"Cook Islands tropical moist forests"
197,"Coolgardie woodlands"
372,"Copper Plateau taiga"
590,"Cordillera Central páramo"
591,"Cordillera de Merida páramo"
456,"Cordillera La Costa montane forests"
457,"Cordillera Oriental montane forests"
788,"Corsican montane broadleaf and mixed forests"
458,"Costa Rican seasonal moist forests"
789,"Crete Mediterranean forests"
658,"Crimean Submediterranean forest complex"
6,"Cross-Niger transition forests"
7,"Cross-Sanaga-Bioko coastal forests"
390,"Cross-Timbers savanna-woodland"
600,"Cuban cactus scrub"
530,"Cuban dry forests"
459,"Cuban moist forests"
554,"Cuban pine forests"
579,"Cuban wetlands"
790,"Cyprus Mediterranean forests"
693,"Da Hinggan-Dzhagdy Mountains conifer forests"
659,"Daba Mountains evergreen forests"
726,"Daurian forest steppe"
415,"Davis Highlands tundra"
315,"Deccan thorn scrub forests"
660,"Dinaric Mountains mixed forests"
92,"Djibouti xeric shrublands"
40,"Drakensberg Escarpment savanna and thicket"
41,"Drakensberg grasslands"
0,"Rock and Ice"
569,"Dry Chaco"
694,"East Afghan montane conifer forests"
69,"East African halophytics"
112,"East African mangroves"
120,"East Antarctic tundra"
821,"East Arabian fog shrublands and sand desert"
332,"East Central Texas forests"
293,"East Deccan dry-evergreen forests"
661,"East European forest steppe"
822,"East Sahara Desert"
823,"East Saharan montane xeric woodlands"
710,"East Siberian taiga"
43,"East Sudanian savanna"
662,"Eastern Anatolian deciduous forests"
727,"Eastern Anatolian montane steppe"
191,"Eastern Australia mulga shrublands"
168,"Eastern Australian temperate forests"
373,"Eastern Canadian forests"
374,"Eastern Canadian Shield taiga"
354,"Eastern Cascades forests"
10,"Eastern Congolian swamp forests"
460,"Eastern Cordillera Real montane forests"
333,"Eastern Canadian Forest-Boreal transition"
824,"Eastern Gobi desert steppe"
334,"Eastern Great Lakes lowland forests"
11,"Eastern Guinean forests"
228,"East Deccan moist deciduous forests"
751,"Eastern Himalayan alpine shrub and meadows"
306,"Eastern Himalayan broadleaf forests"
309,"Eastern Himalayan subalpine conifer forests"
229,"Eastern Java-Bali montane rain forests"
230,"Eastern Java-Bali rain forests"
791,"Eastern Mediterranean conifer-broadleaf forests"
621,"Eastern Micronesia tropical moist forests"
461,"Eastern Panamanian montane forests"
531,"Ecuadorian dry forests"
391,"Edwards Plateau savanna"
185,"Einasleigh upland savanna"
695,"Elburz Range forest steppe"
121,"Ellsworth Land tundra"
122,"Ellsworth Mountains tundra"
728,"Emin Valley steppe"
123,"Enderby Land tundra"
663,"English Lowlands beech forests"
580,"Enriquillo wetlands"
93,"Eritrean coastal desert"
198,"Esperance mallee"
575,"Espinal"
12,"Ethiopian montane forests"
79,"Ethiopian montane grasslands and woodlands"
80,"Ethiopian montane moorlands"
70,"Etosha Pan halophytics"
665,"Euxine-Colchic broadleaf forests"
581,"Everglades flooded grasslands"
199,"Eyre and York mallee"
729,"Faroe Islands boreal grasslands"
462,"Fernando de Noronha-Atol das Rocas moist forests"
635,"Fiji tropical dry forests"
622,"Fiji tropical moist forests"
169,"Fiordland temperate forests"
200,"Flinders-Lofty montane woodlands"
392,"Flint Hills tallgrass prairie"
355,"Fraser Plateau and Basin conifer forests"
89,"Fynbos shrubland"
601,"Galápagos Islands xeric scrub"
94,"Gariep Karoo"
752,"Ghorat-Hazarajat alpine meadow"
209,"Gibson desert"
730,"Gissaro-Alai open woodlands"
316,"Godavari-Krishna mangroves"
825,"Gobi Lakes Valley desert steppe"
13,"Granitic Seychelles forests"
356,"Great Basin montane forests"
430,"Great Basin shrub steppe"
826,"Great Lakes Basin desert steppe"
210,"Great Sandy-Tanami desert"
211,"Great Victoria desert"
231,"Greater Negros-Panay rain forests"
602,"Guajira-Barranquilla xeric scrub"
582,"Guayaquil flooded grasslands"
463,"Guianan freshwater swamp forests"
464,"Guianan Highlands moist forests"
465,"Guianan lowland moist forests"
466,"Guianan piedmont moist forests"
570,"Guianan savanna"
44,"Guinean forest-savanna"
113,"Guinean mangroves"
14,"Guinean montane forests"
642,"Guizhou Plateau broadleaf and mixed forests"
431,"Gulf of California xeric scrub"
335,"Gulf of St. Lawrence lowland forests"
467,"Gurupa várzea"
232,"Hainan Island monsoon rain forests"
140,"Halmahera rain forests"
201,"Hampton mallee and woodlands"
636,"Hawai'i tropical dry forests"
639,"Hawai'i tropical high shrublands"
640,"Hawai'i tropical low shrublands"
623,"Hawai'i tropical moist forests"
696,"Helanshan montane conifer forests"
697,"Hengduan Mountains subalpine conifer forests"
412,"Canadian High Arctic tundra"
592,"High Monte"
81,"Highveld grasslands"
233,"Himalayan subtropical broadleaf forests"
302,"Himalayan subtropical pine forests"
753,"Hindu Kush alpine meadow"
532,"Hispaniolan dry forests"
468,"Hispaniolan moist forests"
555,"Hispaniolan pine forests"
95,"Hobyo grasslands and shrublands"
666,"Hokkaido deciduous forests"
698,"Hokkaido montane conifer forests"
699,"Honshu alpine conifer forests"
45,"Horn of Africa xeric bushlands"
667,"Huang He Plain mixed forests"
571,"Humid Chaco"
576,"Humid Pampas"
141,"Huon Peninsula montane rain forests"
792,"Iberian conifer forests"
793,"Iberian sclerophyllous and semi-deciduous forests"
711,"Iceland boreal birch forests and alpine tundra"
794,"Illyrian deciduous forests"
319,"Indochina mangroves"
320,"Indus River Delta-Arabian Sea mangroves"
317,"Indus Valley desert"
71,"Inner Niger Delta flooded savanna"
375,"Interior Alaska-Yukon lowland taiga"
336,"Interior Plateau US Hardwood Forests"
416,"Interior Yukon-Alaska alpine tundra"
469,"Iquitos várzea"
294,"Irrawaddy dry forests"
234,"Irrawaddy freshwater swamp forests"
235,"Irrawaddy moist deciduous forests"
533,"Islas Revillagigedo dry forests"
470,"Isthmian-Atlantic moist forests"
471,"Isthmian-Pacific moist forests"
795,"Italian sclerophyllous and semi-deciduous forests"
46,"Itigi-Sumbu thicket"
534,"Jalisco dry forests"
535,"Jamaican dry forests"
472,"Jamaican moist forests"
473,"Japurá-Solimões-Negro moist forests"
202,"Jarrah-Karri forest and shrublands"
236,"Jian Nan subtropical evergreen forests"
82,"Jos Plateau forest-grassland"
560,"Juan Fernández Islands temperate forests"
827,"Junggar Basin semi-desert"
474,"Juruá-Purus moist forests"
418,"Kalaallit Nunaat High Arctic tundra"
47,"Kalahari Acacia woodlands"
97,"Kalahari xeric savanna"
713,"Kamchatka-Kurile meadows and sparse forests"
712,"Kamchatka taiga"
98,"Kaokoveld desert"
754,"Karakoram-West Tibetan Plateau alpine steppe"
237,"Kayah-Karen montane rain forests"
731,"Kazakh forest steppe"
828,"Kazakh semi-desert"
732,"Kazakh steppe"
733,"Kazakh upland steppe"
624,"Kermadec Islands subtropical moist forests"
755,"Khangai Mountains alpine meadow"
700,"Khangai Mountains conifer forests"
295,"Khathiar-Gir dry deciduous forests"
186,"Kimberly tropical savanna"
357,"Klamath-Siskiyou forests"
15,"Knysna-Amatole montane forests"
774,"Kola Peninsula tundra"
829,"Kopet Dag semi-desert"
756,"Kopet Dag woodlands and forest steppe"
757,"Kuh Rud and Eastern Iran montane woodlands"
16,"Kwazulu Natal-Cape coastal forests"
603,"La Costa xeric shrublands"
72,"Lake Chad flooded savanna"
536,"Lara-Falcón dry forests"
475,"Leeward Islands moist forests"
163,"Lesser Sundas deciduous forests"
48,"Limpopo lowveld"
572,"Llanos"
142,"Lord Howe Island subtropical forests"
143,"Louisiade Archipelago rain forests"
577,"Low Monte"
238,"Lower Gangetic Plains moist deciduous forests"
239,"Luang Prabang montane rain forests"
240,"Luzon montane rain forests"
241,"Luzon rain forests"
303,"Luzon tropical pine forests"
32,"Madagascar dry deciduous forests"
83,"Madagascar ericoid thickets"
17,"Madagascar humid forests"
114,"Madagascar mangroves"
99,"Madagascar spiny thickets"
18,"Madagascar subhumid forests"
100,"Madagascar succulent woodlands"
476,"Madeira-Tapajós moist forests"
668,"Madeira evergreen forests"
478,"Magdalena-Urabá moist forests"
538,"Magdalena Valley dry forests"
477,"Magdalena Valley montane forests"
561,"Magellanic subpolar forests"
73,"Makgadikgadi halophytics"
242,"Malabar Coast moist forests"
243,"Maldives-Lakshadweep-Chagos Archipelago tropical moist forests"
604,"Malpelo Island xeric scrub"
669,"Manchurian mixed forests"
49,"Mandara Plateau woodlands"
19,"Maputaland coastal forests and woodlands"
539,"Maracaibo dry forests"
480,"Marajó várzea"
540,"Maranhão Babaçu forests"
479,"Marañón dry forests"
637,"Marianas tropical dry forests"
625,"Marquesas tropical moist forests"
50,"Masai xeric grasslands and shrublands"
20,"Mascarene forests"
481,"Mato Grosso tropical dry forests"
796,"Mediterranean Acacia-Argania dry woodlands and succulent thickets"
701,"Mediterranean conifer and mixed forests"
797,"Mediterranean dry woodlands and steppe"
758,"Mediterranean High Atlas juniper steppe"
798,"Mediterranean woodlands and forests"
244,"Meghalaya subtropical forests"
245,"Mentawai Islands rain forests"
432,"Meseta Central matorral"
613,"Mesoamerican Gulf-Caribbean mangroves"
830,"Mesopotamian shrub desert"
376,"Mid-Canada Boreal Plains forests"
414,"Canadian Middle Arctic Tundra"
